"MCXA26x/A25x/A18x/A17x
LQFP144","MCXA26x/A25x/A18x/A17x
 LQFP144 Pin Name","MCXA26x/A25x/A18x/A17x
WFBGA169","MCXA26x/A25x/A18x/A17x
WFBGA169 Pin Name"," MCXA26x/A25x/A18x/A17x
LQFP100"," MCXA26x/A25x/A18x/A17x 
LQFP100 Pin Name"," MCXA26x/A25x/A18x/A17x
LQFP64"," MCXA26x/A25x/A18x/A17x
LQFP64 Pin Name",I/O Supply,Default,ISP,ANALOG,ALT0,ALT1,ALT2,ALT3,ALT4,ALT5,ALT6,ALT7,ALT8,ALT9,ALT10,ALT11,ALT12,VDD_SYS,Pad type,
128,P0_21,B6,P0_21,88,P0_21,,,VDD,DIS,,ADC0_A11/LCD_P25,P0_21,,,LPUART0_TXD,CT_INP1,,FLEXIO0_D5,SmartDMA_PIO11,,LCD_P25,,,,,SLOW,
129,P0_22,C8,P0_22,89,P0_22,,,VDD,DIS,,ADC0_A12/LCD_P26,P0_22,,,LPUART0_RTS_B,CT_INP2,CT0_MAT0,FLEXIO0_D6,SmartDMA_PIO12,,LCD_P26,,,,,SLOW,
130,P0_23,D8,P0_23,90,P0_23,,,VDD,DIS,,ADC0_A13/LCD_P27,P0_23,,,LPUART0_CTS_B,CT_INP3,CT0_MAT1,FLEXIO0_D7,SmartDMA_PIO13,,LCD_P27,,,,WUU0_IN5,SLOW,
131,P0_24,C6,P0_24,,,,,VDD,DIS,,LCD_P28,P0_24,,,,CT0_MAT0,,,,LPUART5_RXD,LCD_P28,,,,,SLOW,
132,P0_25,D6,P0_25,,,,,VDD,DIS,,LCD_P29,P0_25,,,,CT0_MAT1,,,,LPUART5_TXD,LCD_P29,,,,,SLOW,
133,P0_26,C5,P0_26,,,,,VDD,DIS,,LCD_P30,P0_26,,,,CT0_MAT2,,,,LPUART5_RTS_B,LCD_P30,,,,,SLOW,
134,P0_27,D5,P0_27,,,,,VDD,DIS,,LCD_P31,P0_27,,,,CT0_MAT3,,,,LPUART5_CTS_B,LCD_P31,,,,,SLOW,
135,P1_0,A5,P1_0,91,P1_0,56,P1_0,VDD,DIS,,ADC0_A16/CMP0_IN3/LCD_P0,P1_0,TRIG_IN0,LPSPI0_SDO,LPI2C1_SDA,CT_INP4,CT0_MAT2,FLEXIO0_D8,,,LCD_P0,,CAN1_RXD,,WUU0_IN6/LPTMR0_ALT3,MED+I2C_FILT,
136,P1_1,B5,P1_1,92,P1_1,57,P1_1,VDD,DIS,,ADC0_A17/CMP1_IN3/LCD_P1,P1_1,TRIG_IN1,LPSPI0_SCK,LPI2C1_SCL,CT_INP5,CT0_MAT3,FLEXIO0_D9,,,LCD_P1,,CAN1_TXD,,,MED+I2C_FILT,
137,P1_2,A4,P1_2,93,P1_2,58,P1_2,VDD,DIS,,ADC0_A18/LCD_P2,P1_2,TRIG_OUT0,LPSPI0_SDI,LPI2C1_SDAS,CT1_MAT0,CT_INP0,FLEXIO0_D10,,,LCD_P2,,CAN0_TXD,,,MED,
138,P1_3,B4,P1_3,94,P1_3,59,P1_3,VDD,DIS,,ADC0_A19/CMP0_IN1/LCD_P3,P1_3,TRIG_OUT1,LPSPI0_PCS0,LPI2C1_SCLS,CT1_MAT1,CT_INP1,FLEXIO0_D11,,,LCD_P3,,CAN0_RXD,,WUU0_IN7,MED,
139,VDD,J8,VDD,95,VDD,60,VDD,VDD,,,,,,,,,,,,,,,,,,,
140,VSS,F7,VSS,96,VSS,61,VSS,VDD,,,,,,,,,,,,,,,,,,,
141,P1_4,A3,P1_4,97,P1_4,62,P1_4,VDD,DIS,,ADC0_A20/CMP0_IN2/LCD_VLL2,P1_4,FREQME_CLK_IN0,LPSPI0_PCS3,LPUART2_RXD,CT1_MAT2,,FLEXIO0_D12,SmartDMA_PIO0,,,,,,WUU0_IN8,MED,
142,P1_5,B3,P1_5,98,P1_5,63,P1_5,VDD,DIS,,ADC0_A21/CMP1_IN2/LCD_VLL1,P1_5,FREQME_CLK_IN1,LPSPI0_PCS2,LPUART2_TXD,CT1_MAT3,,FLEXIO0_D13,SmartDMA_PIO1,,,,,,,MED,
143,P1_6,A2,P1_6,99,P1_6,64,P1_6,VDD,DIS,,ADC0_A22/LCD_P4,P1_6,TRIG_IN2,LPSPI0_PCS1,LPUART2_RTS_B,CT_INP6,CT4_MAT0,FLEXIO0_D14,SmartDMA_PIO2,,LCD_P4,,CAN1_TXD,,,MED,
144,P1_7,A1,P1_7,100,P1_7,1,P1_7,VDD,DIS,,ADC0_A23/LCD_P5,P1_7,TRIG_OUT2,,LPUART2_CTS_B,CT_INP7,CT4_MAT1,FLEXIO0_D15,SmartDMA_PIO3,,LCD_P5,,CAN1_RXD,,WUU0_IN9,MED,
,,"G7,H7,J7,K7,L7,G2,G3,G4,G10,G11,G12,F5,F6,F8,F9,H6,H8,H9,M11",VSS,,,,,,,,,,,,,,,,,,,,,,,,
,,J9,VDD,,,,,,,,,,,,,,,,,,,,,,,,
,,"C4, F3, F4, G8, G9, H3, H4, J3, J4, K3, K4, K10, K11, L10",NC_RSV_BGA_xx,,,,,,,,,,,,,,,,,,,,,,,,
"Note:  
1. +I3C in Pad Type represents that  strong pull up resistor is implemented on the pin. PV bit is implemented in  Pin Control register of the pin.  
2. +I2C_FILT in Pad Type represents that  I2C filter is implemented on the pin. PFE bit is implemented in  Pin Control register of the pin. 
3. HD in Pad Type represents that the pin can support up to 20mA drive strength. I2C filter is implemented on the pin. PFE bit is implemented in  Pin Control register of the pin.
4. 5VTOL in Pad Type represents that the pin is 5V tolerant.  
5. DIS in default column represents that the pin's input buffer is disabled by default  
6. RST pads support passive filter and 1M ohm pull resistor. PFE and PV bits are implemented in  Pin Control register of the pin.  
7. PE, PS, SRE, ODE and DSE are supported in  Pin Control register of all types of IO.  
8. 5VTol and HD pads support two DSE bits in Pin Control register of the pin. 
9. SLOW in Pad Type represents the IO supports 25MHz. MED in Pad Type represents the IO supports 50MHz.
10. +TAM in Pad Type represents the IO supports 1M ohm pull resistor. 
11. CAN1, LPUART5, SLCD are not available in MCXA17x and MCXA25x.
",,,,,,,,,,,,,,,,,,,,,,,,,,,
